normalized_vi,method,predicted_clusters_column,n_predicted_clusters,n_predicted_cluster_samples,n_ignored_predicted_clusters,n_true_cluster_samples,n_ignored_true_clusters,n_vi_cluster_samples,normalized_mutual_info_score,adjusted_rand_score,homogeneity_completeness_v_measure,adjusted_mutual_info_score
0.0519,reduced_t-sne_cosine_2_t33-650M-mean_All,reduced_t-sne_cosine_2_t33-650M-mean_All_label,9,1061,12,1073,0,1061,0.9061178656676682,0.909085915896289,0.9061178656676682,0.9036551432333464
0.052,reduced_t-sne_euclidean_2_protbert,reduced_t-sne_euclidean_2_protbert_label,7,1072,1,1073,0,1072,0.9017854916451206,0.8882129009776648,0.9017854916451205,0.8996929088053518
0.0539,t-sne,t-sne_label,7,1073,0,1073,0,1073,0.8969475257311494,0.8747848535623685,0.8969475257311494,0.8947566074700715
0.0645,reduced_t-sne_cosine_2_t33-650M-attentionmean_All,reduced_t-sne_cosine_2_t33-650M-attentionmean_All_label,8,1062,11,1073,0,1062,0.8812697414471875,0.8899434965685645,0.8812697414471873,0.8784260869286314
0.0674,mds,mds_label,6,1054,19,1073,0,1054,0.8649131974521902,0.8346902834868599,0.8649131974521902,0.86275208387016
0.0701,umap,umap_label,6,1073,0,1073,0,1073,0.8618067814004836,0.8298445622260834,0.8618067814004837,0.8592159980029983
0.0722,reduced_t-sne_euclidean_2_CARP,reduced_t-sne_euclidean_2_CARP_label,11,1065,8,1073,0,1065,0.8736861712148559,0.842675384312485,0.8736861712148558,0.8698777904488595
0.0723,pca,pca_label,5,1068,5,1073,0,1068,0.8505819036547445,0.7868852859121176,0.8505819036547444,0.8483527372362477
0.0935,reduced_t-sne_cosine_2_t33-650M-sitemean_All,reduced_t-sne_cosine_2_t33-650M-sitemean_All_label,5,1070,3,1073,0,1070,0.8098113819980016,0.7459953727318593,0.8098113819980015,0.8067048577747654
0.0964,reduced_t-sne_cosine_2_t36-3B-mean_All,reduced_t-sne_cosine_2_t36-3B-mean_All_label,8,1070,3,1073,0,1070,0.8235820990602521,0.824636715623359,0.8235820990602521,0.819372284178675
0.0966,reduced_t-sne_cosine_2_t36-3B-attentionmean_All,reduced_t-sne_cosine_2_t36-3B-attentionmean_All_label,8,1072,1,1073,0,1072,0.82300176445356,0.8246914416660719,0.8230017644535599,0.8187834920599025
0.1123,reduced_mds_cosine_8_t36-3B-sitemean_All,reduced_mds_cosine_8_t36-3B-sitemean_All_label,15,630,443,1073,0,630,0.8330137597844943,0.6213484794603782,0.8330137597844944,0.8272395835870876
0.1231,genetic,genetic_label,4,1070,3,1073,0,1070,0.7157544371569227,0.5285958634121151,0.7157544371569226,0.7124319202708691
0.14,reduced_t-sne_cosine_2_t36-3B-bos_All,reduced_t-sne_cosine_2_t36-3B-bos_All_label,9,1069,4,1073,0,1069,0.742612314240706,0.712266703598411,0.742612314240706,0.7358568476434023
0.1417,reduced_t-sne_euclidean_2_prot5,reduced_t-sne_euclidean_2_prot5_label,7,1070,3,1073,0,1070,0.7312176951624171,0.5643387463989565,0.7312176951624171,0.7255209714066887
0.1459,reduced_t-sne_euclidean_2_t33-650M-bos_All,reduced_t-sne_euclidean_2_t33-650M-bos_All_label,4,1072,1,1073,0,1072,0.6772879081008117,0.5668919674662378,0.6772879081008116,0.6729663266413597
